Rank,Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
4,Dwight Howard,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234
5,Chris Paul,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292
6,Chauncey Billups,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174
7,Paul Pierce,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164
8,Tony Parker,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168
9,Brandon Roy,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223
10,Dirk Nowitzki,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171
11,Tim Duncan,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0,0.692,10.1,0.191
12,Yao Ming,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,10.6,0.196
1,Kobe Bryant,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208
2,Chris Paul,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284
3,Kevin Garnett,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265
4,LeBron James,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242
5,Dwight Howard,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2
6,Amar'e Stoudemire,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262
7,Tim Duncan,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201
8,Tracy McGrady,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115
9,Steve Nash,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181
10,Manu Ginobili,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232
11,Dirk Nowitzki,36,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223
12,Deron Williams,37.3,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177
13,Carmelo Anthony,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14
14,Carlos Boozer,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,10.2,0.173
14,Antawn Jamison,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144
14,Paul Pierce,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207
14,Rasheed Wallace,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155
1,Dirk Nowitzki,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278
2,Steve Nash,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225
3,Kobe Bryant,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199
4,Tim Duncan,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23
5,LeBron James,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206
6,Tracy McGrady,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163
7,Chris Bosh,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174
8,Gilbert Arenas,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177
9,Carlos Boozer,34.6,20.9,11.7,3,0.9,0.3,0.561,,0.685,9.9,0.185
9,Kevin Garnett,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171
11,Chauncey Billups,36.2,17,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216
12,Shaquille O'Neal,28.4,17.3,7.4,2,0.2,1.4,0.591,,0.422,2.8,0.119
12,Dwyane Wade,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219
14,Amar'e Stoudemire,32.8,20.4,9.6,1,1,1.3,0.575,0,0.781,11.2,0.201
15,Carmelo Anthony,38.2,28.9,6,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14
15,Baron Davis,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139
15,Tony Parker,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185
1,Steve Nash,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
2,LeBron James,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232
3,Dirk Nowitzki,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275
4,Kobe Bryant,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224
5,Chauncey Billups,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
6,Dwyane Wade,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239
7,Elton Brand,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229
8,Tim Duncan,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187
9,Tony Parker,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169
10,Allen Iverson,43.1,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165
10,Shawn Marion,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214
1,Steve Nash,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203
2,Shaquille O'Neal,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11,0.211
3,Dirk Nowitzki,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248
4,Tim Duncan,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245
5,Allen Iverson,42.3,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136
6,LeBron James,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203
7,Tracy McGrady,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12,0.18
8,Dwyane Wade,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11,0.177
9,Amar'e Stoudemire,36.1,26,8.9,1.6,1,1.6,0.559,0.188,0.733,14.6,0.243
9,Ray Allen,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168
11,Kevin Garnett,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248
1,Kevin Garnett,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272
2,Tim Duncan,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249
3,Jermaine O'Neal,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155
4,Peja Stojakovic,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198
